x,y,z,r
-1.094,0.181915,-4.60869,4.74025
-1.094,0.181915,-4.60869,4.74025
-1.66575,-2.50823,-5.15397,5.96903
-1.66575,-2.50823,-5.15397,5.96903
-1.89513,0.15941,-5.57479,5.89026
-1.89513,0.15941,-5.57479,5.89026
-1.89513,0.15941,-5.57479,5.89026
-3.73354,4.54972,-3.70928,6.95687
-3.73354,4.54972,-3.70928,6.95687
1.41802,2.11038,-3.71322,4.50028
0.756639,2.0471,-4.5985,5.09012
1.20331,3.10064,-3.01431,4.48865
-0.388707,-0.922226,-3.61962,3.75543
-0.388707,-0.922226,-3.61962,3.75543
-0.388707,-0.922226,-3.61962,3.75543
-2.23672,-1.89016,-3.40001,4.48728
-2.23672,-1.89016,-3.40001,4.48728
-1.10702,1.72979,-4.22692,4.69942
-0.613464,-1.70139,-2.53753,3.11611
-0.613464,-1.70139,-2.53753,3.11611
-0.613464,-1.70139,-2.53753,3.11611
-0.613464,-1.70139,-2.53753,3.11611
-0.613464,-1.70139,-2.53753,3.11611
-0.613464,-1.70139,-2.53753,3.11611
-0.822451,1.64196,-2.37952,3.00576
-1.04002,1.43134,1.23394,2.15707
-1.73916,-0.408641,4.66529,4.99566
-2.34157,-0.136106,6.82922,7.22078
-1.52772,2.15833,5.71593,6.29795
-1.52772,2.15833,5.71593,6.29795
-1.67836,2.11555,1.53089,3.1042
-1.67836,2.11555,1.53089,3.1042
-1.75558,2.85155,-1.95057,3.87532
-1.76561,3.32703,-3.03252,4.83557
-4.10813,2.76495,-4.62426,6.77535
-4.10813,2.76495,-4.62426,6.77535
-4.10813,2.76495,-4.62426,6.77535
-4.10813,2.76495,-4.62426,6.77535
-4.10813,2.76495,-4.62426,6.77535
-2.25649,4.90649,-3.24845,6.30221
0.252777,3.11531,-3.1221,4.41775
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.351373,1.25624,-3.26547,3.51637
0.532191,1.76066,-1.82676,2.59233
0.532191,1.76066,-1.82676,2.59233
-1.19275,1.51824,-1.36805,2.36628
-1.19275,1.51824,-1.36805,2.36628
0.342959,-1.22077,-1.60167,2.04285
0.342959,-1.22077,-1.60167,2.04285
0.342959,-1.22077,-1.60167,2.04285
0.342959,-1.22077,-1.60167,2.04285
0.342959,-1.22077,-1.60167,2.04285
0.342959,-1.22077,-1.60167,2.04285
0.342959,-1.22077,-1.60167,2.04285
0.342959,-1.22077,-1.60167,2.04285
-1.7231,0.750399,-2.31265,2.98002
0.17373,-2.0609,-3.57737,4.1322
-0.899699,0.503808,-3.6244,3.76823
-0.899699,0.503808,-3.6244,3.76823
-0.899699,0.503808,-3.6244,3.76823
-0.899699,0.503808,-3.6244,3.76823
-0.899699,0.503808,-3.6244,3.76823
-0.944341,3.35039,-1.81568,3.92601
-3.4875,0.283452,-2.63561,4.38057
-3.4875,0.283452,-2.63561,4.38057
-3.1152,2.21747,-3.59626,5.24926
-1.30173,1.21121,-3.79261,4.18872
-0.106369,0.0620083,-2.90776,2.91037
-0.215876,0.283182,-2.00183,2.03326
-0.215876,0.283182,-2.00183,2.03326
-0.215876,0.283182,-2.00183,2.03326
-0.215876,0.283182,-2.00183,2.03326
-0.215876,0.283182,-2.00183,2.03326
-0.215876,0.283182,-2.00183,2.03326
-0.215876,0.283182,-2.00183,2.03326
-1.72057,-3.36511,-2.66717,4.62581
0.262521,-0.26656,-4.68817,4.70308
0.250399,-0.848689,-5.68214,5.75063
0.250399,-0.848689,-5.68214,5.75063
0.17571,-1.38213,-2.98787,3.29675
1.79335,0.911427,-3.12695,3.71815
1.48312,0.539949,-4.56774,4.83274
1.48312,0.539949,-4.56774,4.83274
1.48312,0.539949,-4.56774,4.83274
1.48312,0.539949,-4.56774,4.83274
1.48312,0.539949,-4.56774,4.83274
0.84386,0.507636,-1.99426,2.22416
1.18224,1.39749,-2.41531,3.03058
-0.262761,0.61259,-0.847107,1.07791
-1.86563,-1.11057,-0.910852,2.35448
-1.86563,-1.11057,-0.910852,2.35448
-1.86563,-1.11057,-0.910852,2.35448
-0.550295,1.6495,-1.36872,2.21293
2.20351,-1.27938,-3.65213,4.45312
2.20351,-1.27938,-3.65213,4.45312
2.20351,-1.27938,-3.65213,4.45312
2.20351,-1.27938,-3.65213,4.45312
0.95934,-1.79357,-4.67509,5.0984
0.95934,-1.79357,-4.67509,5.0984
1.09561,-1.51492,-4.53736,4.90744
-0.646658,-0.206312,-2.33677,2.43335
-1.49905,0.73316,-2.46319,2.97523
-3.46413,2.44415,-2.84769,5.10719
-3.46413,2.44415,-2.84769,5.10719
-1.52019,3.63356,-5.5708,6.82258
-1.52019,3.63356,-5.5708,6.82258
-1.52019,3.63356,-5.5708,6.82258
-1.52019,3.63356,-5.5708,6.82258
-1.52019,3.63356,-5.5708,6.82258
0.367725,3.02531,-5.46914,6.26092
1.9963,2.14609,-1.35186,3.22776
0.80947,1.19439,-2.16299,2.60007
0.80947,1.19439,-2.16299,2.60007
0.844181,3.51217,-3.04515,4.7245
0.575581,3.27983,-2.95325,4.45087
0.575581,3.27983,-2.95325,4.45087
0.575581,3.27983,-2.95325,4.45087
0.575581,3.27983,-2.95325,4.45087
0.151083,3.40264,1.40333,3.68376
-1.11305,0.917793,1.8926,2.37974
-1.67986,-0.684479,4.11339,4.4956
-1.67986,-0.684479,4.11339,4.4956
-1.48159,-0.0550063,2.8104,3.17749
-1.48159,-0.0550063,2.8104,3.17749
-1.48159,-0.0550063,2.8104,3.17749
-0.806068,1.47716,5.49696,5.74877
-1.71255,3.69364,7.04524,8.13703
1.24411,3.72072,6.51742,7.60712
1.24411,3.72072,6.51742,7.60712
3.9421,1.84033,4.31603,6.12823
3.86887,1.028,5.01355,6.41566
2.33752,0.690696,5.40966,5.93342
2.33752,0.690696,5.40966,5.93342
1.16059,1.29668,2.64702,3.16782
1.16059,1.29668,2.64702,3.16782
1.16059,1.29668,2.64702,3.16782
0.568296,2.32356,1.34829,2.74587
0.568296,2.32356,1.34829,2.74587
1.09129,-0.258853,2.47126,2.71386
1.09129,-0.258853,2.47126,2.71386
1.35353,0.494315,-0.433643,1.5048
0.390594,-1.38197,-2.50389,2.8865
0.390594,-1.38197,-2.50389,2.8865
1.47054,0.117428,-1.51949,2.11781
1.47054,0.117428,-1.51949,2.11781
1.47054,0.117428,-1.51949,2.11781
1.47054,0.117428,-1.51949,2.11781
-0.506016,0.525473,-7.20016,7.23702
1.246,-1.19029,-5.60089,5.85998
1.79989,-0.779713,-4.06466,4.5132
1.79989,-0.779713,-4.06466,4.5132
1.79989,-0.779713,-4.06466,4.5132
3.94506,-0.750399,-3.75713,5.49933
3.94506,-0.750399,-3.75713,5.49933
3.94506,-0.750399,-3.75713,5.49933
3.94506,-0.750399,-3.75713,5.49933
3.30634,2.72836,-3.38152,5.4599
3.30634,2.72836,-3.38152,5.4599
3.30634,2.72836,-3.38152,5.4599
3.30634,2.72836,-3.38152,5.4599
3.30634,2.72836,-3.38152,5.4599
3.30634,2.72836,-3.38152,5.4599
3.30634,2.72836,-3.38152,5.4599
1.80547,1.63335,-1.70137,2.97022
3.21034,0.517581,-3.87815,5.06105
6.17329,-0.756455,-4.45041,7.64773
6.17329,-0.756455,-4.45041,7.64773
5.68219,-4.42354,-5.12621,8.83929
5.70705,0.139025,-1.23728,5.84129
5.0913,2.33152,-3.0929,6.39713
5.0913,2.33152,-3.0929,6.39713
5.0913,2.33152,-3.0929,6.39713
5.0913,2.33152,-3.0929,6.39713
5.95249,2.76379,-3.27277,7.3336
5.95249,2.76379,-3.27277,7.3336
5.95249,2.76379,-3.27277,7.3336
3.39412,3.00381,-4.46383,6.3615
3.39412,3.00381,-4.46383,6.3615
1.38198,0.180427,-3.26178,3.54706
1.38198,0.180427,-3.26178,3.54706
1.38198,0.180427,-3.26178,3.54706
0.371344,-1.1432,-3.99126,4.16832
0.919633,1.42044,-3.8563,4.21123
1.12523,-1.29836,-3.20309,3.63479
1.12523,-1.29836,-3.20309,3.63479
2.7734,-0.680948,-3.37385,4.42022
-0.0135101,-1.31894,-2.33901,2.68528
-0.407157,-1.85142,-1.65605,2.51715
-0.886552,-0.426252,-1.54963,1.83549
0.659855,-2.20745,-1.68019,2.85153
-0.913635,-2.34742,-3.67375,4.45438
-0.00680626,1.37269,-2.37777,2.74556
-0.00680626,1.37269,-2.37777,2.74556
0.901761,1.04691,-1.70912,2.19779
0.901761,1.04691,-1.70912,2.19779
1.69585,-0.0243988,-2.11497,2.71101
1.69585,-0.0243988,-2.11497,2.71101
-0.519738,0.287513,-3.23732,3.29135
-0.519738,0.287513,-3.23732,3.29135
0.100125,-0.956999,-3.33042,3.46663
0.100125,-0.956999,-3.33042,3.46663
0.100125,-0.956999,-3.33042,3.46663
0.100125,-0.956999,-3.33042,3.46663
0.100125,-0.956999,-3.33042,3.46663
0.100125,-0.956999,-3.33042,3.46663
-0.0404243,-0.0570503,-2.73817,2.73907
-2.30154,-0.77913,-3.24727,4.05573
-2.30154,-0.77913,-3.24727,4.05573
-2.96828,-0.683305,-3.20812,4.42376
-2.33466,-3.19428,-4.89176,6.29153
-3.58511,-3.99781,-4.13148,6.77529
-2.40471,-4.39798,-4.11387,6.4845
-2.40471,-4.39798,-4.11387,6.4845
-2.15668,-0.595582,-4.50142,5.0268
0.0421435,1.38165,-4.41709,4.62833
0.0421435,1.38165,-4.41709,4.62833
0.0421435,1.38165,-4.41709,4.62833
1.86545,1.51735,-4.12665,4.77614
-1.40942,-0.448083,-2.17887,2.63338
-1.40942,-0.448083,-2.17887,2.63338
-2.06157,1.54893,-0.547706,2.63614
-3.41257,2.89094,0.697254,4.52652
-3.65546,1.12875,4.26037,5.72602
